trading_date,usd_idr_rate,previous_rate,rate_change,daily_return,geopolitical_news_count,article_ids,has_geopolitical_news
2021-09-01,14284,,,,0,,False
2021-09-02,14281,14284.0,-3.0,-0.00021002520302436292,10,"cnbc_6b385a3a,cnbc_ca9258cd,cnbc_2c9c9ebd,cnbc_1bec09c7,cnbc_05fe842d,cnbc_730ab804,cnbc_84a108b5,cnbc_3050d3da,cnbc_3e9c8728,cnbc_ba33dec4",True
2021-09-03,14261,14281.0,-20.0,-0.0014004621525103285,11,"cnbc_985eed03,cnbc_3d6b4369,cnbc_3ca43ecf,cnbc_fe9dbb4d,cnbc_3230dd0a,cnbc_d25afc71,cnbc_b1cc7dc6,cnbc_10a8095c,cnbc_35431552,cnbc_947deed6,cnbc_5ed81ce4",True
2021-09-06,14239,14261.0,-22.0,-0.0015426688170535026,21,"cnbc_f265dbec,cnbc_fee64f2c,cnbc_d62e7676,cnbc_c7cdf253,cnbc_a2ead0d4,cnbc_5292780e,cnbc_28de2471,cnbc_14e345a5,cnbc_cfdf516a,cnbc_6eed58b7,cnbc_696db61b,cnbc_3b06bec7,cnbc_32bc5f2e,cnbc_7fb57a07,cnbc_6f4195fc,cnbc_a51ccf78,cnbc_974528b7,cnbc_ebd55f7e,cnbc_1bec733e,cnbc_7f6a8c3b,cnbc_8661857c",True
2021-09-07,14195,14239.0,-44.0,-0.0030901046421799284,9,"cnbc_732166de,cnbc_192f75a2,cnbc_6c7b44ac,cnbc_0f5f07dc,cnbc_cb11f31b,cnbc_9f61793f,cnbc_38772598,cnbc_cbe0e68b,cnbc_fb75304a",True
2021-09-08,14266,14195.0,71.0,0.005001761183515322,9,"cnbc_e1a4b80b,cnbc_3aae1f7f,cnbc_c93f0044,cnbc_0681dd76,cnbc_e89fa5f6,cnbc_2785067a,cnbc_ac367990,cnbc_811dd74a,cnbc_b11d83ee",True
2021-09-09,14272,14266.0,6.0,0.00042058040095331557,12,"cnbc_93f58e01,cnbc_1543173a,cnbc_8e5441bf,cnbc_7ae15c19,cnbc_05f198e3,cnbc_08bfe6e8,cnbc_e5fd684a,cnbc_18f47f80,cnbc_b0c405e7,cnbc_26d30a61,cnbc_5c32e57c,cnbc_b6d3641c",True
2021-09-10,14225,14272.0,-47.0,-0.0032931614349775784,12,"cnbc_99038e0f,cnbc_1bbb1e3e,cnbc_b2785de5,cnbc_710b07c0,cnbc_929af06d,cnbc_3ef27f8a,cnbc_83fb1635,cnbc_39b03c8f,cnbc_85e7b5ce,cnbc_fd40f778,cnbc_57984130,cnbc_411869e1",True
2021-09-13,14260,14225.0,35.0,0.002460456942003515,24,"cnbc_f1c5fdb4,cnbc_936b8c67,cnbc_1372aeda,cnbc_3429d624,cnbc_41ae760b,cnbc_dc39cd13,cnbc_31f98b7b,cnbc_b52d340c,cnbc_be925ad8,cnbc_f2eae43f,cnbc_5c85eca1,cnbc_19cd9311,cnbc_a2d59444,cnbc_74d893b5,cnbc_27c0b217,cnbc_f31a2e2a,cnbc_b07db4e8,cnbc_d818e5c7,cnbc_c12e842f,cnbc_112b9d82,cnbc_d3a96c1f,cnbc_430c1873,cnbc_12c58682,cnbc_6fc98ce6",True
2021-09-14,14257,14260.0,-3.0,-0.00021037868162692848,10,"cnbc_5e9c8ebe,cnbc_372b77b5,cnbc_af47a92d,cnbc_ef3054a4,cnbc_9d5c051c,cnbc_5709ab76,cnbc_6d2f7105,cnbc_2376148c,cnbc_efeb560d,cnbc_05f29fac",True
2021-09-15,14252,14257.0,-5.0,-0.0003507049168829347,12,"cnbc_600f2bad,cnbc_98213d25,cnbc_77bc7687,cnbc_5ce4de87,cnbc_6a68e95b,cnbc_b1c7da05,cnbc_e9652f49,cnbc_1813fd69,cnbc_653159e4,cnbc_0c6fc04c,cnbc_f909163d,cnbc_296ba74b",True
2021-09-16,14238,14252.0,-14.0,-0.0009823182711198428,12,"cnbc_cf9ab3eb,cnbc_b644b2fc,cnbc_472622f2,cnbc_773fe570,cnbc_612ee52e,cnbc_ae1ca4b2,cnbc_cd542eef,cnbc_8aa7597f,cnbc_7c205b4d,cnbc_c678ed05,cnbc_85f1573c,cnbc_d8db8611",True
2021-09-17,14233,14238.0,-5.0,-0.00035117291754459897,15,"cnbc_eaaa5220,cnbc_98701056,cnbc_9b6c2861,cnbc_b02bf4ce,cnbc_09f11064,cnbc_fcb52178,cnbc_9f55fc2c,cnbc_18a68c56,cnbc_2d32042d,cnbc_33196c44,cnbc_b3fac304,cnbc_a5bd546e,cnbc_2dfc0ac2,cnbc_1d5bc44c,cnbc_030c5e5d",True
2021-09-20,14251,14233.0,18.0,0.0012646666198271623,22,"cnbc_7cd3c74a,cnbc_9c769b7c,cnbc_27e9cfa3,cnbc_fa21f675,cnbc_32c30159,cnbc_ae509c0a,cnbc_1a50ec1e,cnbc_5d1eb49b,cnbc_7b28de2f,cnbc_07b7b773,cnbc_eeed29f7,cnbc_bd559336,cnbc_6632d12e,cnbc_171e2e2e,cnbc_f2b7fcbe,cnbc_574485ac,cnbc_0455fc9f,cnbc_07fb8100,cnbc_c84f86c1,cnbc_a61a88e9,cnbc_9e7fa2f3,cnbc_eed1a7f7",True
2021-09-21,14244,14251.0,-7.0,-0.0004911936004490913,12,"cnbc_6067d37c,cnbc_4f7f84fc,cnbc_ea3ea81f,cnbc_39b09507,cnbc_c61e7cdc,cnbc_2a9dfa63,cnbc_9c2bcff6,cnbc_0cf8c874,cnbc_0b73341a,cnbc_b013fdac,cnbc_c048b4c3,cnbc_009a5fcf",True
2021-09-22,14249,14244.0,5.0,0.00035102499297950013,12,"cnbc_838ba74d,cnbc_347dcfc9,cnbc_116351e4,cnbc_9c57ef20,cnbc_b6118d12,cnbc_c0c98227,cnbc_fab0e9ae,cnbc_93669f76,cnbc_c87dc426,cnbc_16eaa952,cnbc_ff72ad92,cnbc_dd68cddc",True
2021-09-23,14256,14249.0,7.0,0.0004912625447399818,12,"cnbc_29f1a77f,cnbc_f0c64b06,cnbc_74c364fe,cnbc_018d87c6,cnbc_50a543ca,cnbc_59f82a6f,cnbc_310cf748,cnbc_07c32517,cnbc_561fecc2,cnbc_23f34637,cnbc_65ebc89d,cnbc_859ac767",True
2021-09-24,14250,14256.0,-6.0,-0.00042087542087542086,12,"cnbc_3436540e,cnbc_5a562530,cnbc_634c069a,cnbc_fda76ee9,cnbc_d7a16730,cnbc_81b84942,cnbc_ab12108e,cnbc_61a4dcb2,cnbc_5b3e52ca,cnbc_bee1fed9,cnbc_ebcca066,cnbc_edb8a4e2",True
2021-09-27,14258,14250.0,8.0,0.0005614035087719298,25,"cnbc_fa6647a1,cnbc_ca822f3c,cnbc_7d4e9320,cnbc_cc143590,cnbc_c414f536,cnbc_4ce1521d,cnbc_4beaa410,cnbc_721c07ca,cnbc_67887f22,cnbc_495e4564,cnbc_852ba193,cnbc_4cbd1538,cnbc_16aac7e5,cnbc_05328d68,cnbc_238dc77e,cnbc_6ef999d5,cnbc_025df4a4,cnbc_43f12c87,cnbc_800b3006,cnbc_b9075e77,cnbc_40dcbccc,cnbc_990031be,cnbc_6882f49b,cnbc_6f577fe8,cnbc_d271faa5",True
2021-09-28,14269,14258.0,11.0,0.0007714967036049937,12,"cnbc_5123ae0a,cnbc_78abec56,cnbc_875ea4ee,cnbc_754a0e45,cnbc_28ad9646,cnbc_550c1206,cnbc_d8487188,cnbc_56cfb860,cnbc_7c78cb4b,cnbc_6a4d92b7,cnbc_5b55c56c,cnbc_7779d449",True
2021-09-29,14307,14269.0,38.0,0.002663115845539281,11,"cnbc_af8a048e,cnbc_4d35303b,cnbc_3e1a16f7,cnbc_14683601,cnbc_ad36edb1,cnbc_313759b1,cnbc_fa991ecf,cnbc_730ef984,cnbc_afa7e946,cnbc_60f476ed,cnbc_2c679b9d",True
2021-09-30,14321,14307.0,14.0,0.000978541972461033,10,"cnbc_caa55c89,cnbc_7e32a51b,cnbc_4648e2a0,cnbc_854e061a,cnbc_5d582dc6,cnbc_31360ea8,cnbc_17fbf44f,cnbc_36faa9b8,cnbc_955bbd52,cnbc_b35e3177",True
2021-10-01,14315,14321.0,-6.0,-0.0004189651560645206,17,"cnbc_58f70585,cnbc_1c6378f0,cnbc_92b1e97e,cnbc_5602ee25,cnbc_de5f54fb,cnbc_cc8183d8,cnbc_34c0e0e3,cnbc_3954880f,cnbc_2a4e5f2c,cnbc_f0e33ff4,cnbc_3a7f2c9a,cnbc_d812ec1b,cnbc_dd6decee,cnbc_488abaa1,cnbc_45399b92,cnbc_87b5f2c2,cnbc_4a22d311",True
2021-10-04,14276,14315.0,-39.0,-0.002724414949353825,19,"cnbc_949b2aca,cnbc_314d99be,cnbc_238e28cb,cnbc_d10978a6,cnbc_5368eff0,cnbc_e37ad8ba,cnbc_1dc2304e,cnbc_183c0541,cnbc_0425af07,cnbc_1cd15f65,cnbc_3f3876fa,cnbc_7d264fa2,cnbc_45373648,cnbc_b8c0a94c,cnbc_ad9c343f,cnbc_5644387b,cnbc_cdd887d8,cnbc_7c3d1f02,cnbc_3f272e6c",True
