trading_date,usd_idr_rate,currency,rate_type,source,is_trading_day,retrieved_at
2021-09-01,14284,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-09-02,14281,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-09-03,14261,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-09-06,14239,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-09-07,14195,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-09-08,14266,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-09-09,14272,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-09-10,14225,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-09-13,14260,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-09-14,14257,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-09-15,14252,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-09-16,14238,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-09-17,14233,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-09-20,14251,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-09-21,14244,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-09-22,14249,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-09-23,14256,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-09-24,14250,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-09-27,14258,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-09-28,14269,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-09-29,14307,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-09-30,14321,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-10-01,14315,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-10-04,14276,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-10-05,14260,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-10-06,14245,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-10-07,14238,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-10-08,14225,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-10-11,14210,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-10-12,14217,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-10-13,14221,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-10-14,14155,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-10-15,14084,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-10-18,14096,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-10-19,14080,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-10-21,14133,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-10-22,14162,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-10-25,14183,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-10-26,14165,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-10-27,14184,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-10-28,14199,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-10-29,14171,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-11-01,14235,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-11-02,14261,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-11-03,14301,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-11-04,14327,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-11-05,14374,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-11-08,14268,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-11-09,14233,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-11-10,14253,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-11-11,14288,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-11-12,14243,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-11-15,14206,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-11-16,14211,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-11-17,14259,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-11-18,14231,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-11-19,14237,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-11-22,14255,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-11-23,14272,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-11-24,14272,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-11-25,14280,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-11-26,14280,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-11-29,14340,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-11-30,14320,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-12-01,14353,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-12-02,14378,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-12-03,14408,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-12-06,14441,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-12-07,14408,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-12-08,14348,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-12-09,14351,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-12-10,14378,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-12-13,14346,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-12-14,14348,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-12-15,14337,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-12-16,14343,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-12-17,14343,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-12-20,14384,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-12-21,14349,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-12-22,14264,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-12-23,14251,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-12-24,14219,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-12-27,14225,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-12-28,14237,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-12-29,14265,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-12-30,14269,USD,JISDOR,Bank Indonesia,True,2026-09-04
2021-12-31,14278,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-01-03,14270,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-01-04,14310,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-01-05,14365,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-01-06,14396,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-01-07,14360,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-01-10,14323,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-01-11,14299,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-01-12,14302,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-01-13,14311,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-01-14,14310,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-01-17,14323,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-01-18,14325,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-01-19,14370,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-01-20,14354,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-01-21,14347,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-01-24,14327,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-01-25,14358,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-01-26,14346,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-01-27,14385,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-01-28,14381,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-01-31,14392,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-02-02,14347,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-02-03,14381,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-02-04,14376,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-02-07,14404,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-02-08,14385,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-02-09,14366,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-02-10,14344,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-02-11,14359,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-02-14,14338,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-02-15,14292,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-02-16,14278,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-02-17,14301,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-02-18,14339,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-02-21,14329,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-02-22,14362,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-02-23,14355,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-02-24,14371,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-02-25,14369,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-03-01,14350,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-03-02,14373,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-03-04,14383,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-03-07,14411,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-03-08,14394,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-03-09,14371,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-03-10,14298,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-03-11,14306,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-03-14,14328,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-03-15,14321,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-03-16,14311,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-03-17,14290,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-03-18,14340,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-03-21,14341,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-03-22,14358,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-03-23,14351,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-03-24,14361,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-03-25,14341,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-03-28,14360,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-03-29,14364,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-03-30,14349,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-03-31,14357,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-04-01,14364,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-04-04,14362,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-04-05,14348,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-04-06,14364,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-04-07,14359,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-04-08,14365,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-04-11,14370,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-04-12,14364,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-04-13,14359,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-04-14,14349,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-04-18,14356,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-04-19,14347,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-04-20,14351,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-04-21,14348,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-04-22,14361,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-04-25,14452,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-04-26,14412,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-04-27,14418,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-04-28,14480,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-05-09,14534,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-05-10,14546,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-05-11,14546,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-05-12,14585,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-05-13,14619,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-05-17,14651,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-05-18,14682,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-05-19,14731,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-05-20,14661,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-05-23,14665,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-05-24,14653,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-05-25,14645,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-05-27,14578,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-05-30,14544,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-05-31,14592,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-06-02,14526,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-06-03,14431,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-06-06,14462,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-06-07,14464,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-06-08,14477,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-06-09,14555,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-06-10,14569,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-06-13,14672,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-06-14,14729,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-06-15,14746,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-06-16,14741,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-06-17,14828,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-06-20,14836,USD,JISDOR,Bank Indonesia,True,2026-09-04
2022-06-21,14804,USD,JISDOR,Bank Indonesia,True,2026-09-04
