category,articles_total,articles_geopolitics,tier
Politics,16923,5621,keyword
US: News,29689,4899,other
Europe News,8101,3929,other
Europe Politics,3500,3472,core
Asia News,7914,3297,other
Wars and Military Conflicts,3304,3283,core
World Politics,2834,2817,core
China Politics,2886,2694,core
World News,4787,2627,keyword
Markets,34212,2582,other
Business News,19011,2398,other
Europe Economy,4292,2182,other
Aerospace & Defense,2106,2015,core
White House,6399,1947,keyword
Defense,1920,1885,core
China Economy,3283,1831,other
Transportation,5146,1804,other
Asia Politics,1714,1702,core
Technology,15409,1656,other
Economy,11466,1577,other
Europe Markets,4599,1528,other
Asia Economy,4016,1421,other
China Markets,2244,1267,other
Trade,1979,1127,other
World Economy,2469,1115,other
Political Leaders,3168,1080,keyword
Travel,2279,1029,other
Finance,8435,955,other
Industrials,1603,929,other
Asia Markets,4801,920,other
Energy,4590,867,other
stocks,22314,803,other
Oil and Gas,2903,782,other
Policy,2810,720,keyword
Asia: Business,1896,700,other
Congress,4144,641,keyword
Europe: Top News And Analysis,691,588,keyword
Elections,3223,581,keyword
International: Top News And Analysis,582,578,core
US Economy,5979,558,other
Coronavirus,3408,521,other
Investing,36516,460,other
World Markets,3365,444,other
Oil,1645,425,other
International Homepage,535,411,keyword
Internet,4184,404,other
US Top News and Analysis,1375,376,other
AI - Artificial Intelligence,4307,343,other
Autos,3631,296,other
Airlines,959,284,other
Inflation,3082,278,other
Space,502,275,other
Climate,2510,270,other
U.S. Markets,8612,268,other
European Union,258,253,core
Law,2744,253,other
Climate Policy,1209,246,other
The China Connection,259,244,core
Central Banks,1742,230,other
Social Media,2004,214,other
Health & Science,3087,211,other
Mobile,3035,206,other
Catastrophe,394,205,other
Cybersecurity,910,201,other
Earnings,4540,197,other
Special Reports,5227,186,other
Asia: Squawk Box,499,184,other
Banks,2497,182,other
Semiconductors,1348,182,other
Squawk Box U.S.,1546,170,other
Emerging Markets,393,170,other
Crime,2292,169,other
Manufacturing,1654,168,other
Enterprise,2365,165,other
Law and Regulation,864,150,other
Labor Unions,663,150,other
Republicans,1438,148,other
Market Outlook,2620,148,other
Energy Commodities,612,142,other
United States Election 2024,1294,142,keyword
The Fed,3503,140,other
Retail,3832,137,other
Government Agencies,1020,135,keyword
Asia: Top News and Analysis,151,135,keyword
Terrorism,126,125,core
Shipping,321,123,other
European Central Bank,377,122,other
Nuclear Weapons,122,121,core
Access Middle East,124,121,core
Technology: Companies,774,116,other
Real Estate,1747,115,other
Regulations,483,115,other
Defense Contractors,130,114,core
Bank of England,258,112,other
Media,2237,112,other
Semiconductors and Semiconductor Equipment,751,111,other
CNBC UK Exchange,216,108,other
Guns and Weapons,303,106,other
Squawk Box Europe,309,104,other
Currencies,646,101,other
AI Effect,802,99,other
Interest Rates,2088,99,other
Europe Homepage,108,98,keyword
Transportation Infrastructure,588,96,other
Democrats,997,96,other
Israel News,96,95,core
Cryptocurrency,2179,93,other
Women and Wealth,141,86,other
Companies,1169,85,other
Crypto,2246,84,other
Latin America,165,84,keyword
US Homepage,308,83,other
Renewable Energy,722,83,other
Wall Street,3294,82,other
Agriculture,251,81,other
Russia Stories,78,77,core
Mergers,995,77,other
5 Things to Know,1224,76,other
Bonds,1179,75,other
Davos WEF,213,74,other
Futures & Commodities,1268,70,other
Street Signs Asia,312,70,other
Environment,824,69,other
Brexit,102,68,other
Biotech and Pharmaceuticals,2281,68,other
Nuclear Energy,163,67,other
Immigration,360,64,other
Ukraine Stories,65,64,core
Inside India,239,63,other
Software,804,63,other
e-commerce,2012,62,other
Supply Chain Management,185,62,other
Life,1956,62,other
Supreme Court (U.S.),626,62,other
Air Freight and Logistics,320,57,other
Weather and Natural Disasters,624,56,other
Latin America Markets,95,55,other
CNBC Sport,1287,55,other
Taxes,1692,54,other
Antitrust,284,53,other
Jobs,1401,52,other
Pharmaceuticals,1314,52,other
CNBC Digital Original Video,261,51,other
Lawsuits,736,51,other
Bitcoin,1632,51,other
Metals,367,50,other
Precious Metals and Minerals Mining,948,50,other
Entertainment,2348,49,other
Venture Capital,729,48,other
FinTech,1212,46,other
Coronavirus: Reopening the economy,241,45,other
Food and Beverage,871,45,other
IPOs,487,44,other
Tourism,553,44,other
Squawk on the Street,696,43,other
Biotechnology,1569,43,other
Europe Early Edition,66,43,keyword
Sustainable Future: Responsibility ,122,43,other
People's Bank of China,68,42,other
Human Rights,58,42,other
Semiconductor Equipment,143,41,other
EMEA,50,41,other
CEOs,549,41,other
Corporate Finance,325,40,other
The World of Defense in 2039,42,40,other
Clean Tech,634,40,other
Automobiles and Components,1178,40,other
Markets and Politics Digital Original Video,40,40,core
Latest Business News Wires - Business Headlines,128,39,other
International Sports,205,38,other
Middle East Money,37,37,core
Government Shutdown,245,37,other
PRO Home,867,36,other
CNBC News and Programming,183,36,other
Investing in Space,119,36,other
Wealth-old,1201,35,other
Business Travel,320,34,other
Religion,85,34,other
Commentary,530,34,other
Oil and Gas Storage,67,33,other
Capital Connection,62,33,other
Technology: Trends,370,32,other
Economic Development,430,32,other
Clean Energy,569,32,other
Credit Cards,545,32,other
Deals & IPOs,538,31,other
World: Energy,35,31,other
Oil Overview,80,30,other
Personal Finance,4636,30,other
Science,378,30,other
Housing,1139,30,other
EU FX,628,29,other
Asia-Pacific Homepage,82,29,keyword
Infrastructure,187,29,other
Luxury,379,29,other
Consumer Discretionary,304,29,other
Bank of Japan,209,28,other
Employment,809,28,other
Bankruptcy,171,27,other
Food Products,208,26,other
Acquisitions,476,26,other
Street Signs Europe,53,25,other
Oil and Gas Refining,53,24,other
Japanese Yen,932,24,other
Death Notices,242,24,other
Tech Trends,341,23,other
Gold,1291,23,other
Green,329,22,other
Telecom,143,22,other
Marine Ports and Services,155,22,other
Marine,74,21,other
Food Economics,147,21,other
Savings,2890,21,other
Opinion,163,21,other
Bank of Russia,25,21,other
Asia FX,686,20,other
UAE in Focus,28,20,other
CNBC Disruptor 50,468,20,other
Emerging Europe,36,19,other
Utilities,125,19,other
International Organizations,19,19,core
Metal Commodities,1092,19,other
Sustainable Future,81,19,other
Government Programs,412,19,other
Political Capital,19,19,core
Hardware,203,18,other
Consumer Confidence,293,18,other
AI Age,164,17,other
Breaking News,61,17,other
Drugs,188,17,other
Fast Money,206,17,other
Hotels and Leisure,389,17,other
Start-ups,356,17,other
Wealth,348,16,other
Information Technology,82,16,other
